BandwidthRs,Eb0,Eb4,Eb8,Eb12,Eb16,Eb20,Eb24,Eb28,Eb32,Eb36,Eb40,Eb44
0.1200,0.356152,0.338204,0.332066,0.32963,0.325327,0.322058,0.32466,0.326962,0.322425,0.32079,0.321157,0.322625
0.3300,0.29547,0.243928,0.197625,0.163764,0.147685,0.139512,0.137176,0.132973,0.134975,0.13394,0.135975,0.13344
0.5400,0.305611,0.244529,0.17504,0.113624,0.0598145,0.0276888,0.0117094,0.00597144,0.00396984,0.00290232,0.00240192,0.0028356
0.7500,0.320423,0.25774,0.196757,0.129237,0.0763611,0.0347611,0.0197491,0.00950761,0.00710568,0.00560448,0.00527088,0.00510408
1.0000,0.329664,0.274153,0.211202,0.144916,0.100981,0.0610155,0.0429677,0.0361289,0.0311916,0.0306245,0.0267881,0.0307579
1.5000,0.358554,0.300674,0.238924,0.173839,0.127302,0.0934081,0.0743928,0.068288,0.0643848,0.0629837,0.0619162,0.0625167
2.0000,0.36666,0.315352,0.257006,0.194222,0.143448,0.109121,0.0878703,0.0779624,0.0770283,0.0760608,0.0750934,0.070056
2.8000,0.383607,0.333533,0.276288,0.213337,0.163131,0.125267,0.104217,0.0947758,0.0917401,0.0857353,0.0872365,0.0881705
3.6000,0.397518,0.339071,0.287363,0.231819,0.173072,0.131172,0.105618,0.0947758,0.0869362,0.0877035,0.0852015,0.0880371
4.5000,0.408527,0.346511,0.298305,0.23799,0.179177,0.134708,0.110188,0.0905391,0.0909728,0.0854017,0.0858687,0.0830998
